ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	English	ɔ l	ɔ l	1
2	German	a l	a l	1
3	Albanian	g ə r v i ʃ	g ə r v i ʃ	8
4	French	g r a t	g - r - a t	8
5	German	k r a ts	k - r - a ts	8
6	English	j ɛ l o	j ɛ l - o	14
7	French	ʒ o n	ʒ o n - -	14
8	German	g e l b	g e l b -	14
9	German	h au t	h au t -	52
10	Latin	k u t i	k u t i	52
11	English	g o	g o	59
12	German	g eː	g eː	59
13	English	ə r θ	ə r θ -	66
14	German	eː r d ə	eː r d ə	66
15	French	t ɛ r	t ɛ r -	67
16	Latin	t e rː a	t e rː a	67
17	English	k o l d	k o l d	72
18	German	k a l t	k a l t	72
19	French	f r w a d	f r - w a d -	73
20	Latin	f r iː g i d o	f r iː g i d o	73
21	Albanian	m e	m e -	92
22	German	m i t	m i t	92
23	French	ɛ̃ t ɛ s t ɛ̃	ɛ̃ - t ɛ s t - - ɛ̃	100
24	Latin	i n t e s t iː n o	i n t e s t iː n o	100
25	French	k ø	k ø - -	123
26	Latin	k au d a	k au d a	123
27	English	s p l ɪi t	s p - l ɪi t	149
28	German	ʃ p a l t	ʃ p a l - t	149
29	French	f ɑ̃ d	f ɑ̃ - d -	150
30	Latin	f i n d e	f i n d e	150
31	English	s w ɪ m	s w ɪ m	155
32	German	ʃ v i m	ʃ v i m	155
33	Albanian	n o t o	n o t o	158
34	Latin	n aː	n aː - -	158
35	English	k au n t	k au n t -	162
36	French	k ɔ̃ t e	k ɔ̃ - t e	162
37	Albanian	n u m ə r u a r	n u m ə r u a r	164
38	Latin	n u m e r aː	n u m e r - aː -	164
39	English	g ʊ d	g ʊ d	167
40	German	g uː t	g uː t	167
41	French	b ɔ n	b ɔ n -	168
42	Latin	b o n o	b o n o	168
43	English	w ai d	w ai d	181
44	German	v ai t	v ai t	181
45	Albanian	m a ð	m a ð - -	198
46	Latin	m a g n o	m a g n o	198
47	English	b r ɛ s t	b r ɛ s t	205
48	German	b r u s t	b r u s t	205
49	English	f ɔ l	f ɔ l	220
50	German	f a l	f a l	220
51	English	d e	d e -	238
52	German	t aː g	t aː g	238
53	French	ʒ u r	ʒ u - r	239
54	Latin	d i eː	d i eː -	239
55	French	m œ r	m œ r -	257
56	Latin	m o r iː	m o r iː	257
57	English	a ʃ	a ʃ -	271
58	German	a ʃ ə	a ʃ ə	271
59	French	s ɑ̃ d r	s ɑ̃ d - r	272
60	Latin	k i n e r	k i n e r	272
61	French	m ɔ v ɛ z	m ɔ v ɛ z	278
62	Latin	m a l o	m a l o -	278
63	English	k l ɔ	k l ɔ -	301
64	German	k l au ə	k l au ə	301
65	French	f l ø v	f l ø v - -	309
66	Latin	f l uː m i n	f l uː m i n	309
67	French	m a r i	m a r i - -	321
68	Latin	m a r iː t o	m a r iː t o	321
69	Albanian	s e p s e	s e p s e	336
70	French	p a r s	p a r s -	336
71	English	o l d	o l d	342
72	German	a l t	a l t	342
73	French	a r b r	a r b - r	348
74	Latin	a r b o s	a r b o s	348
75	Albanian	d r u r	d r u r	349
76	English	t r i	t r i -	349
77	English	f r i z	f r i z	373
78	German	f r iː r	f r iː r	373
79	French	ʒ ɛ l e	ʒ ɛ l e	374
80	Latin	g e l aː	g e l aː	374
81	English	h ɛ r	h ɛ r	379
82	German	h aː r	h aː r	379
83	French	ʃ ə v ø	ʃ ə v ø - -	380
84	Latin	k a p i lː o	k a p i lː o	380
85	Albanian	ʃ	ʃ -	385
86	English	s i	s i	385
87	German	z eː	z eː	385
88	French	v w a	v - w a	386
89	Latin	w i d eː	w i d eː	386
90	English	g r i s	g r i s	391
91	French	g r ɛ s	g r ɛ s	391
92	English	s i	s i	397
93	German	z eː	z eː	397
94	French	m ɛ r	m ɛ r -	398
95	Latin	m a r e	m a r e	398
96	English	j ɪ r	j ɪ r	403
97	German	j aː r	j aː r	403
98	French	a n e	a n e	404
99	Latin	a nː o	a nː o	404
100	French	e k ɔ r s	e k ɔ r s - -	410
101	Latin	k o r t i k	- k o r t i k	410
102	French	f œ j	f œ j - -	427
103	Latin	f o l i o	f o l i o	427
104	English	s a n d	s a n d	442
105	German	z a n d	z a n d	442
106	Albanian	r ə r	- r ə r -	445
107	Latin	a r eː n a	a r eː n a	445
108	English	ai s	ai s	448
109	German	ai s	ai s	448
110	French	g l a s	g l a s - -	449
111	Latin	g l a k i eː	g l a k i eː	449
112	English	m u n	m u n -	454
113	German	m oː n d	m oː n d	454
114	French	l y n	l y n -	455
115	Latin	l uː n a	l uː n a	455
116	French	p u r i	p u - r i - -	460
117	German	f au l	f au - l - - -	460
118	Latin	p u t r i d o	p u t r i d o	460
119	German	n eː b ə l	n eː b ə l -	466
120	Latin	n e b u l a	n e b u l a	466
121	French	w a z o	w a z o	479
122	Latin	a w i	- a w i	479
123	French	k u t o	k u - t - o	486
124	Latin	k u l t r o	k u l t r o	486
125	English	θ ɪ n	θ ɪ n - -	492
126	German	d y n	d y n - -	492
127	Latin	t e n u i	t e n u i	492
128	English	w i	w i -	498
129	German	v iː r	v iː r	498
130	Albanian	n	n -	499
131	French	n u	n u	499
132	Latin	n oː	n oː	499
133	Albanian	f ə r k o	f ə r - k o	511
134	Latin	f r i k aː	f - r i k aː	511
135	English	h ɪ r	h ɪ r	520
136	German	h iː r	h iː r	520
137	Albanian	u j	- - - u j	527
138	English	w ɑ t ə r	w ɑ t ə r	527
139	German	v a s ə r	v a s ə r	527
140	French	o	o - -	528
141	Latin	a kʷ a	a kʷ a	528
142	English	w ai t	w ai t	532
143	German	v ai s	v ai s	532
144	French	p r ɛ s e	p r ɛ s e	548
145	Latin	p r e m e	p r e m e	548
146	English	p a θ	p a θ	554
147	German	pf aː d	pf aː d	554
148	French	s ɑ̃ t j e	s ɑ̃ - - t j e	555
149	Latin	s eː m i t a	s eː m i t - a	555
150	English	d r ai	d r ai - - -	572
151	German	t r o k ə n	t r o k ə n	572
152	French	s ɛ ʃ	s ɛ ʃ -	573
153	Latin	s i kː o	s i kː o	573
154	English	s t o n	s t o n	578
155	German	ʃ t ai n	ʃ t ai n	578
156	English	l au s	l au s	598
157	German	l au z	l au z	598
158	French	p u	p - - - - - - u	599
159	Latin	p eː d i k u l o	p eː d i k u l o	599
160	French	ɔ s	ɔ - s	605
161	Latin	o s s	o s s	605
162	Albanian	t y m	t y m -	612
