COGID	Albanian	English	French	German	Latin
560-1	v j				
438-1	d ə r				
1222-1	m				
353-1	p e p e i				
201-1	d ə n				
20-1	d r				
503-1	p e ł				
957-1	e				
728-1	l j g u				
244-1	n u m e				
289-1	n j e o				
911-1	r j d r e				
724-1	d ə i				
145-1	d u				
992-1	u				
1181-1	k j n d				
741-1	p e m				
1150-1	u ə r v				
585-1	n y				
814-1	j j ə r				
560-2		w ɑ m			
438-2		f ɑ			
1222-2		m ɑ			
353-2		p ɑ ʃ			
201-2		m ɪ n			
20-2		h ɑ k			
503-2		p l ɪi n			
957-2		s ɑ			
728-2		l au n			
244-2		n ɑ m			
289-2		n ɑ t t			
911-2		w ɑ r i			
724-2		f r t t			
145-2		s ɑ			
992-2		w ɑ t			
706-2		e ai			
106-2		f ɛ d ə r			
741-2		p ʊ h			
421-2		b l o m			
227-2		f ɑ t			
920-2		h ɑ r			
1083-2		h ɑ r n			
1066-2		s t			
1125-2		w ɪ n o			
1197-2		m ə t ə r			
473-2		n ɑ w ə t			
284-2		n ɑ s			
661-2		a n			
701-2		r ai t			
315-2		r u n			
1169-2		s a l			
1150-2		k au r			
982-2		s ɪ m			
987-2		s ɑ a			
1055-2		s t a r			
1130-2		s e n			
433-2		s ɑ n			
625-2		l au t			
1186-2		m ɪ n			
560-3			v ɑ̃		
438-3			f r		
1222-3			v ɛ		
353-3			p u s e		
201-3			p w p		
20-3			f a r		
503-3			p u		
957-3			s		
728-3			l a t e		
244-3			s r		
289-3			d ɔ w		
911-3			v w r		
724-3			s r		
145-3			d u		
992-3			k ɔ		
1181-3			ʃ ɑ̃ t e		
706-3			e k		
106-3			p w r ɛ r		
741-3			p u ʃ		
421-3			f l r		
227-3			p u		
920-3			k ɔ r		
1083-3			k ɛ y l e		
1066-3			e		
1125-3			v ɑ̃ l		
1197-3			m i r i r		
473-3			v ɔ		
284-3			l e		
661-3			v n e		
701-3			r w		
315-3			r ɔ̃ t e		
1169-3			m a l		
1150-3			v ɛ r		
982-3			s ɛ		
987-3			d l e		
1055-3			s ɛ ɲ r		
1130-3			l ɛ k		
433-3			s u l		
585-3			e a		
625-3			v ɑ̃		
1186-3			d ɑ̃ t e		
814-3			v ɛ r		
560-4				v u m	
438-4				f r	
1222-4				m a	
353-4				f au ʃ	
201-4				f i k	
20-4				f a r	
503-4				f au l z	
957-4				e n	
728-4				l e ŋ	
244-4				n i m	
289-4				n ai x t	
911-4				r u x	
724-4				f r x	
145-4				g r	
992-4				h	
1181-4				h a n	
706-4				h a	
106-4				f au d ə r	
421-4				f l au x r	
227-4				f au x	
920-4				h a l	
1083-4				h a e n	
1066-4				g a	
1125-4				n y n ə	
1197-4				m u r ə r	
473-4				n r v u	
284-4				n a z	
661-4				v eː n	
701-4				f a l	
315-4				r u n	
1169-4				ʃ a l t	
1150-4				ʃ a r	
982-4				z eː x	
987-4				ʃ i b	
1055-4				ʃ t eː r	
1130-4				ʃ eː n	
433-4				ʃ a n	
585-4				g eː	
625-4				g e x	
1186-4				g e n	
814-4				v r r	
560-5					w e m i
438-5					p r u
1222-5					m e
353-5					p oː d k o
201-5					p e k u
20-5					p a r r
503-5					p u l
957-5					n n u
728-5					l a m
244-5					n e m i n
289-5					n oː n
911-5					kʷ e b
724-5					f r iː
145-5					d eː
992-5					k o
1181-5					k e n n a
706-5					k e
106-5					p e nː a
741-5					p oː m
421-5					f l aː r
227-5					p u t
920-5					k o r k
1083-5					k o r n u
1066-5					s o
1125-5					n e n u
1197-5					m e r a
473-5					n oː w aː l
284-5					n aː
661-5					w e
701-5					r e u
315-5					s o n t u
1169-5					s aː l
982-5					s e n
987-5					s n aː
1055-5					s t r o k u
1130-5					s a m u
433-5					s o n u
585-5					t e
625-5					l e n u
1186-5					d e n u
814-5					w e r i
