COGID	Albanian	English	French	German	Latin
560-1	v j ə				
438-1	d r				
1222-1	p				
353-1	p e c i				
201-1	c ə g u				
20-1	u ə				
503-1	s e ə				
957-1	ʃ				
728-1	l a g u				
244-1	n m				
289-1	n j i o				
911-1	r r r r				
724-1	t r u				
145-1	d				
992-1	u				
1181-1	k ə n i				
741-1	p y s				
1150-1	g ə r v i				
585-1	t				
814-1	v ə r				
560-2		w ə m			
438-2		f r			
1222-2		f t			
353-2		f ɛ s k			
201-2		w ɪ n o			
20-2		f ɛ r			
503-2		f l n			
957-2		s n			
728-2		l a f			
244-2		n ɪ m			
289-2		n a t			
911-2		w ɛ t i			
724-2		θ r ai t			
145-2		t ə			
992-2		w ə			
706-2		k d			
106-2		f ɛ r r			
741-2		f ʊ h			
421-2		b l i t			
227-2		f ɛ t			
920-2		h o r t			
1083-2		h ə r n ə			
1066-2		j t			
1125-2		k n ə d			
1197-2		m ə r r			
473-2		n o t ə			
284-2		n ə			
661-2		b n			
701-2		r ai t			
315-2		r a			
1169-2		s i l			
1150-2		k ə r			
982-2		s ɪ t			
987-2		n n t			
1055-2		s t t r n			
1130-2		s k n			
433-2		s ə l			
625-2		l ɛ n			
1186-2		ð ɛ n			
560-3			v ɛ		
438-3			f		
1222-3			v j		
353-3			p u s		
201-3			p ɑ̃ k		
20-3			p ɛ		
503-3			p u		
957-3					
728-3			n ɛ f e		
244-3			l i		
289-3			n a w		
911-3			r ɛ i		
724-3			ɛ r		
145-3			d		
992-3			k		
1181-3			s ɑ̃ n		
706-3			e k		
106-3			p a r		
741-3			p s k		
421-3			f r u		
227-3			p j		
920-3			k u r		
1083-3			k u r l		
1066-3			p		
1125-3			g		
1197-3			v e r		
473-3			n ɥ i		
284-3			l		
661-3			k		
701-3			d ɥ a		
315-3			d t		
1169-3			s a n		
1150-3			s ɛ r r		
982-3			s i		
987-3			n t		
1055-3			s a		
1130-3			s ɥ g		
433-3			s l		
585-3			t		
625-3			d n		
1186-3			d t		
814-3			v ɛ r t		
560-4				v u	
438-4				f	
1222-4				e	
353-4				f h	
201-4				v ai b	
20-4				f a	
503-4				f l l	
957-4				b n	
728-4				l a k	
244-4				n eː m	
289-4				n ai x t	
911-4				r a s t	
724-4				d r	
145-4				s	
992-4				h	
1181-4				h a n	
706-4				f	
106-4				f a r r	
421-4				f l a r r	
227-4				f eː s	
920-4				h a r	
1083-4				h a e n ə	
1066-4				e	
1125-4				g eː n	
1197-4				m a n r	
473-4				n i v	
284-4				n ə	
661-4				e x	
701-4				r e s	
315-4				r e n	
1169-4				ʃ a l	
1150-4				ʃ a r	
982-4				ʃ i s	
987-4				ʃ x	
1055-4				ʃ t r	
1130-4				ʃ i k	
433-4				ʃ a l	
585-4				n	
625-4				t i k	
1186-4				s u n	
814-4				v r r	
560-5					w e m n
438-5					f
1222-5					f o
353-5					p e s k
201-5					p e k l
20-5					p aː o r
503-5					p l l o
957-5					f n u
728-5					l a f
244-5					n e m
289-5					n u o
911-5					s e i e
724-5					t r e t
145-5					d e
992-5					k aː i
1181-5					k e n n o
706-5					f
106-5					p aː m a
741-5					p e m u
421-5					f l e r
227-5					p e d
920-5					k o r d
1083-5					k o aː n u
1066-5					s e
1125-5					e n o
1197-5					m e nː a
473-5					n oː l o
284-5					n aː
661-5					kʷ n
701-5					r oː d
315-5					e n
1169-5					s aː l
982-5					s e w
987-5					s n aː
1055-5					s t i l u
1130-5					s k u
433-5					s o l u i
585-5					t e o
625-5					l a n
1186-5					t e n
814-5					w e e
