ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	4	l u ŋ g u	l u ŋ g u	4
2	6	r u ŋ g u	r u ŋ g u	4
3	5	a m b ɛ	a m b ɛ	6
4	7	a m b i	a m b i	6
5	2	tʰ u x a	tʰ u x a	24
6	4	t u k	t u k -	24
7	9	r ʊ χ a	r ʊ χ a	24
8	1	ɔ s ɛ	ɔ s ɛ	32
9	6	o s e	o s e	32
10	10	iː t i k a	iː t i k a	76
11	6	i t i k a	i t i k a	76
12	1	a a p a	a a p a	104
13	4	a p a	a - p a	104
14	10	g w a a p a	g w a a p a	105
15	7	k w á p a	k w á - p a	105
16	9	χ w á f a	χ w á - f a	105
17	4	f w i	f w i	131
18	6	v w i	v w i	131
19	1	s ɔ ɔ ŋ g a	s ɔ ɔ ŋ g a	134
20	8	s o ŋ g o	s o - ŋ g o	134
21	1	l ɔ ɔ m b a	l ɔ ɔ m b a	153
22	7	r ɔ m b a	r ɔ - m b a	153
23	10	s o o k a	s o o k a	166
24	6	z o k a	z o - k a	166
25	8	s a g a	s a - g a	166
26	10	ɲ u m a	ɲ u m a	182
27	4	n u m a	n u m a	182
28	4	k o n d e	k o n d e	212
29	5	k ɔ n d ɔ	k ɔ n d ɔ	212
30	7	b a n á n a	b a n á n a	214
31	9	p a n á n a	p a n á n a	214
32	1	ɔ g ɔ h a	ɔ g ɔ h a	251
33	6	o ɣ o h a	o ɣ o h a	251
34	1	l ɛ m a a l a	l ɛ m a a l a	263
35	2	l e m a l a	l e m - a l a	263
36	1	i g ʊ t a	i g ʊ t a	272
37	6	i ɣ u t a	i ɣ u t a	272
38	4	e f u	- e f u	294
39	6	d e v u	d e v u	294
40	1	p j a a	p j a a	303
41	4	p j	p j - -	303
42	1	k a l a	- - k a l a	314
43	10	l a g a l a	l a g a l a	314
44	6	o m a	o m a	318
45	9	ɔ m a	ɔ m a	318
46	1	k ʊ l a	k ʊ l a	346
47	4	k u l	k u l -	346
48	10	n d a a n d a	n d a a n d a	351
49	2	tʰ a a n d a	- tʰ a a n d a	351
50	2	s i	s i	414
51	5	s i	s i	414
52	7	n ɛ n ɛ	n ɛ n ɛ	438
53	8	n e n e	n e n e	438
54	4	s u m	s u m -	462
55	7	ʃ u m a	ʃ u m a	462
56	10	v a v a	v a v a	473
57	6	v á v a	v á v a	473
58	1	p i	p i -	483
59	3	p i i	p i i	483
60	10	t o k o t a	t o k o t a	539
61	6	d o ɣ o d a	d o ɣ o d a	539
62	2	β i l a	β i l a - -	542
63	4	β i l a u k	β i l a u k	542
64	9	b i l a	b i l a - -	542
65	10	w u p a	w u p a	552
66	4	f u p a	f u p a	552
67	7	f u p a	f u p a	552
68	2	a a x a	- a a x a	564
69	6	h a k a	h a - k a	564
70	8	a g a	- a - g a	564
71	1	t a á m b i	t a á m b i	599
72	10	dʒ a a m b i	dʒ a a m b i	599
73	6	t á m b i	t á - m b i	599
74	3	b u ɲ a	b u ɲ a	615
75	7	v u ɲ a	v u ɲ a	615
76	4	s u l	s u l	624
77	5	s u l	s u l	624
78	3	b ɛ ɛ	b ɛ ɛ	631
79	5	ɓ e e	ɓ e e	631
80	1	l ɛ ɛ t a	l ɛ ɛ t a	649
81	2	l e e r a	l e e r a	649
82	4	l e e t	l e e t -	649
83	10	v a k a	- v a k a	673
84	8	o b a k a	o b a k a	673
85	3	t o ŋ g a	t o ŋ g a	675
86	6	dʒ e ŋ g a	dʒ e ŋ g a	675
87	7	t u ŋ g a	t u ŋ g a	675
88	1	dʒ i i k a	dʒ i i k a	720
89	6	dʒ i k a	dʒ i - k a	720
90	2	s ìì x a	s ìì x a	722
91	4	ʃ ìì k	ʃ ìì k -	722
92	1	g ʊ l a	g ʊ l a	755
93	2	k u l a	k u l a	755
94	8	g ʊ l a	g ʊ l a	755
95	10	v i l a a ŋ g a	v i l a a ŋ g a	780
96	2	l a a ŋ g a	- - l a a ŋ g a	780
97	1	m a l a	m a l a	823
98	2	m a l a	m a l a	823
99	1	ʃ i l a	ʃ i l a	829
100	6	s i a	s i - a	829
101	1	s ʊ ʊ m b i	s ʊ ʊ m b i	836
102	6	tʃ u m b i	tʃ u - m b i	836
103	8	s u m b i	s u - m b i	836
104	10	p a a n d o	p a a n d o	837
105	4	p a n d o	p a - n d o	837
106	10	v i i ŋ g a	v i i ŋ g a	860
107	3	b e ŋ g a	b e - ŋ g a	860
108	7	β i ŋ g a	β i - ŋ g a	860
109	2	s a j a	s a j a	873
110	4	s a j a	s a j a	873
111	1	k u β a	k u β a	882
112	8	k u b a	k u b a	882
113	2	f u β a	f u β a	884
114	4	f u β a	f u β a	884
115	1	l ɛ z u	l ɛ z u	904
116	9	l e d u	l e d u	904
117	1	s a a g ʊ l a	s a a g ʊ l a	915
118	6	s a ɣ u r a	s a - ɣ u r a	915
119	2	x o l o	x o l o	928
120	6	k o l o	k o l o	928
121	7	k ô r o	k ô r o	928
122	10	b e p o	b e p o	959
123	4	p e p o	p e p o	959
124	6	p e h o	p e h o	959
125	1	i z a	i z a	969
126	10	iː s a	iː s a	969
127	6	z a	- z a	969
128	3	s i s a	s i s a	984
129	8	s i l a	s i l a	984
130	1	d ɛ ɛ k a	d ɛ - ɛ k a	994
131	10	t e l e k a	t e l e k a	994
132	7	t e r e k a	t e r e k a	994
133	1	n u u ŋ g ʊ	n u u ŋ g ʊ	1006
134	7	ɲ u ŋ g u	ɲ u - ŋ g u	1006
135	8	ʊ ŋ g ʊ	- ʊ - ŋ g ʊ	1006
136	1	l a a m b ɔ	l a a m b ɔ	1019
137	2	l a a m b o	l a a m b o	1019
138	6	i m b a	- i m b a	1025
139	7	tʃ i m b a	tʃ i m b a	1025
140	8	r ʊ m b a	r ʊ m b a	1025
141	1	k ɔ l ɔ l a	k ɔ l ɔ l a	1032
142	2	x o l o l a	x o l o l a	1032
143	9	χ ɔ tɬʰ ɔ l a	χ ɔ tɬʰ ɔ l a	1032
144	1	β a l a	β a l a	1043
145	2	β a l a	β a l a	1043
146	7	v á r a	v á r a	1043
147	1	k i l a	k i l a	1073
148	9	tsʰ i l a	tsʰ i l a	1073
149	1	t ɛ m a	t ɛ m a	1110
150	4	t e m	t e m -	1110
151	6	t e m a	t e m a	1110
152	2	x i n a	x i n a	1123
153	8	m i n a	m i n a	1123
154	3	s a	s a	1151
155	6	s i	s i	1151
